station_id, obs_time, wx, rh, t, td, wdir, wspeed, pressure
SBBH,201707281600,Fair,36,24,6,340,6,915.29 
SBBH,201707281500,Fair,43,22,6,310,2,916.18 
SBBH,201707281400,Fair,49,21,10,None,0,917.08 
SBBH,201707281300,Fair,52,20,12,80,11,918.87 
SBBH,201707281100,Fair,45,17,12,None,0,917.97 
SBBH,201707281000,Fair,63,14,7,90,19,917.08 
SBBH,201707272000,Partly Cloudy,46,21,10,None,0,917.08 
SBBH,201707271900,Partly Cloudy,41,23,5,50,4,915.29 
SBBH,201707271700,Partly Cloudy,41,23,5,50,4,915.29 
SBBH,201707271600,Partly Cloudy,46,21,10,None,0,917.08 
SBBH,201707271400,Partly Cloudy,49,21,10,None,0,917.08 
SBBH,201707271300,Mostly Cloudy,52,20,12,80,11,918.87 
SBBH,201707271200,Partly Cloudy,59,18,12,110,6,917.97 
SBBH,201707271100,Mostly Cloudy,72,16,7,80,11,916.18 
SBBH,201707271000,Partly Cloudy,59,15,4,130,9,915.29 
SBBH,201707262000,Fair,38,22,6,310,2,916.18 
SBBH,201707261900,Fair,38,23,5,50,4,915.29 
SBBH,201707261700,Fair,38,23,5,50,4,915.29 
SBBH,201707261600,Fair,38,24,6,340,6,915.29 
SBBH,201707261500,Fair,38,23,5,50,4,915.29 
SBBH,201707261400,Partly Cloudy,46,21,10,None,0,917.08 
SBBH,201707261300,Mostly Cloudy,56,20,12,80,11,918.87 
SBBH,201707261200,Partly Cloudy,64,18,12,110,6,917.97 
SBBH,201707261100,Fair,72,17,12,None,0,917.97 
SBBH,201707261000,Fair,77,16,7,80,11,916.18 
SBBH,201707252000,Fair,43,22,6,310,2,916.18 
SBBH,201707251900,Fair,38,23,5,50,4,915.29 
SBBH,201707251800,Partly Cloudy,38,24,6,340,6,915.29 
SBBH,201707251700,Partly Cloudy,41,23,5,50,4,915.29 
SBBH,201707251600,Partly Cloudy,41,23,5,50,4,915.29 
SBBH,201707251400,Partly Cloudy,46,21,10,None,0,917.08 
SBBH,201707251300,Mostly Cloudy,56,19,12,100,11,918.87 
SBBH,201707251200,Partly Cloudy,68,19,12,100,11,918.87 
SBBH,201707251100,Partly Cloudy,82,17,12,None,0,917.97 
SBBH,201707251000,Partly Cloudy,82,16,7,80,11,916.18 
SBBH,201707242000,Partly Cloudy,47,23,5,50,4,915.29 
SBBH,201707241900,Partly Cloudy,44,24,6,340,6,915.29 
SBBH,201707241700,Partly Cloudy,44,25,5,None,0,915.29 
SBBH,201707241600,Fair,47,23,5,50,4,915.29 
SBBH,201707241500,Fair,50,22,6,310,2,916.18 
SBBH,201707241300,Partly Cloudy,60,19,12,100,11,918.87 
SBBH,201707241200,Mostly Cloudy,72,17,12,None,0,917.97 
SBBH,201707241100,Partly Cloudy,72,17,12,None,0,917.97 
SBBH,201707241000,Mostly Cloudy,77,15,4,130,9,915.29 
SBBH,201707232000,Fair,31,22,6,310,2,916.18 
SBBH,201707231900,Fair,27,23,5,50,4,915.29 
SBBH,201707231800,Fair,27,24,6,340,6,915.29 
SBBH,201707231700,Fair,31,24,6,340,6,915.29 
SBBH,201707231600,Fair,34,24,6,340,6,915.29 
SBBH,201707231400,Fair,43,22,6,310,2,916.18 
SBBH,201707231300,Fair,46,21,10,None,0,917.08 
SBBH,201707231100,Fair,59,18,12,110,6,917.97 
SBBH,201707231000,Fair,63,16,7,80,11,916.18 
SBBH,201707222000,Fair,38,23,5,50,4,915.29 
SBBH,201707221900,Mostly Cloudy,34,25,5,None,0,915.29 
SBBH,201707221800,Mostly Cloudy,28,26,7,320,11,916.18 
SBBH,201707221600,Partly Cloudy,28,27,11,None,0,917.08 
SBBH,201707221500,Fair,61,24,6,340,6,915.29 
SBBH,201707221300,Fair,44,23,5,50,4,915.29 
SBBH,201707221200,Fair,50,22,6,310,2,916.18 
SBBH,201707221100,Fair,64,19,12,100,11,918.87 
SBBH,201707221000,Fair,68,17,12,None,0,917.97 
SBBH,201707212000,Mostly Cloudy,28,25,5,None,0,915.29 
SBBH,201707211800,Mostly Cloudy,36,24,6,340,6,915.29 
SBBH,201707211700,Partly Cloudy,32,26,7,320,11,916.18 
SBBH,201707211600,Fair,34,26,7,320,11,916.18 
SBBH,201707211500,Fair,41,24,6,340,6,915.29 
SBBH,201707211400,Fair,53,22,6,310,2,916.18 
SBBH,201707211300,Fair,56,21,10,None,0,917.08 
SBBH,201707211100,Fair,68,18,12,110,6,917.97 
SBBH,201707211000,Fair,77,16,7,80,11,916.18 
SBBH,201707202000,Mostly Cloudy,49,21,10,None,0,917.08 
SBBH,201707201800,Partly Cloudy,44,23,5,50,4,915.29 
SBBH,201707201700,Partly Cloudy,38,24,6,340,6,915.29 
SBBH,201707201600,Fair,44,23,5,50,4,915.29 
SBBH,201707201500,Fair,47,23,5,50,4,915.29 
SBBH,201707201400,Fair,56,21,10,None,0,917.08 
SBBH,201707201300,Fair,64,19,12,100,11,918.87 
SBBH,201707201200,Partly Cloudy,64,19,12,100,11,918.87 
SBBH,201707201100,Fair,77,16,7,80,11,916.18 
SBBH,201707201000,Fair,77,16,7,80,11,916.18 
SBBH,201707192000,Fair,46,21,10,None,0,917.08 
SBBH,201707191900,Fair,57,23,5,50,4,915.29 
SBBH,201707191700,Partly Cloudy,34,24,6,340,6,915.29 
SBBH,201707191600,Fair,44,23,5,50,4,915.29 
SBBH,201707191500,Fair,46,22,6,310,2,916.18 
SBBH,201707191400,Fair,53,21,10,None,0,917.08 
SBBH,201707191300,Fair,64,19,12,100,11,918.87 
SBBH,201707191100,Fair,64,18,12,110,6,917.97 
SBBH,201707191000,Fair,72,16,7,80,11,916.18 
SBBH,201707182000,Partly Cloudy,46,22,6,310,2,916.18 
SBBH,201707181900,Partly Cloudy,38,24,6,340,6,915.29 
SBBH,201707181800,Partly Cloudy,36,25,5,None,0,915.29 
SBBH,201707181700,Partly Cloudy,36,25,5,None,0,915.29 
SBBH,201707181600,Partly Cloudy,38,24,6,340,6,915.29 
SBBH,201707181400,Mostly Cloudy,36,24,6,340,6,915.29 
SBBH,201707181300,Mostly Cloudy,43,21,10,None,0,917.08 
SBBH,201707181200,Mostly Cloudy,60,20,12,80,11,918.87 
SBBH,201707181100,Fair,77,18,12,110,6,917.97 
SBBH,201707181000,Fair,77,17,12,None,0,917.97 
SBBH,201707172000,Partly Cloudy,43,22,6,310,2,916.18 
SBBH,201707171900,Mostly Cloudy,43,22,6,310,2,916.18 
SBBH,201707171800,Mostly Cloudy,41,23,5,50,4,915.29 
SBBH,201707171700,Mostly Cloudy,44,23,5,50,4,915.29 
SBBH,201707171500,Mostly Cloudy,46,21,10,None,0,917.08 
SBBH,201707171400,Partly Cloudy,43,22,6,310,2,916.18 
SBBH,201707171300,Partly Cloudy,43,22,6,310,2,916.18 
SBBH,201707171100,Fair,64,18,12,110,6,917.97 
SBBH,201707171000,Fair,72,16,7,80,11,916.18 
SBBH,201707162000,Fair,46,21,10,None,0,917.08 
SBBH,201707161900,Fair,43,22,6,310,2,916.18 
SBBH,201707161700,Partly Cloudy,41,24,6,340,6,915.29 
SBBH,201707161600,Partly Cloudy,44,23,5,50,4,915.29 
SBBH,201707161500,Mostly Cloudy,49,21,10,None,0,917.08 
SBBH,201707161400,Mostly Cloudy,56,20,12,80,11,918.87 
SBBH,201707161300,Mostly Cloudy,52,20,12,80,11,918.87 
SBBH,201707161200,Partly Cloudy,73,18,12,110,6,917.97 
SBBH,201707161100,Fair,72,17,12,None,0,917.97 
SBBH,201707161000,Partly Cloudy,82,15,4,130,9,915.29 
SBBH,201707152000,Mostly Cloudy,56,20,12,80,11,918.87 
SBBH,201707151900,Mostly Cloudy,53,21,10,None,0,917.08 
SBBH,201707151800,Partly Cloudy,50,23,5,50,4,915.29 
SBBH,201707151700,Mostly Cloudy,56,21,10,None,0,917.08 
SBBH,201707151600,Mostly Cloudy,56,21,10,None,0,917.08 
SBBH,201707151400,Partly Cloudy,56,19,12,100,11,918.87 
SBBH,201707151300,Partly Cloudy,60,19,12,100,11,918.87 
SBBH,201707151100,Fair,72,16,7,80,11,916.18 
SBBH,201707151000,Fair,82,14,7,90,19,917.08 
SBBH,201707142000,Mostly Cloudy,68,19,12,100,11,918.87 
SBBH,201707141900,Mostly Cloudy,60,20,12,80,11,918.87 
SBBH,201707141800,Mostly Cloudy,53,21,10,None,0,917.08 
SBBH,201707141600,Partly Cloudy,53,22,6,310,2,916.18 
SBBH,201707141500,Partly Cloudy,56,21,10,None,0,917.08 
SBBH,201707141300,Partly Cloudy,60,20,12,80,11,918.87 
SBBH,201707141100,Fair,77,17,12,None,0,917.97 
SBBH,201707141000,Fair,88,14,7,90,19,917.08 
SBBH,201707132000,Partly Cloudy,53,21,10,None,0,917.08 
SBBH,201707131800,Partly Cloudy,47,23,5,50,4,915.29 
SBBH,201707131700,Fair,41,24,6,340,6,915.29 
