station_id, obs_time, wx, rh, t, td, wdir, wspeed, pressure
SBNF,201707281600,Partly Cloudy,73,23,16,240,22,1021.39 
SBNF,201707281500,Mostly Cloudy,78,22,14,240,17,1020.39 
SBNF,201707281400,Mostly Cloudy,78,21,14,250,20,1020.39 
SBNF,201707281300,Mostly Cloudy,83,21,14,250,20,1020.39 
SBNF,201707281200,Mostly Cloudy,94,19,16,260,15,1020.39 
SBNF,201707281100,Mostly Cloudy,100,17,16,240,11,1020.39 
SBNF,201707281040,Partly Cloudy,100,17,16,240,11,1020.39 
SBNF,201707281000,Mostly Cloudy,100,16,15,350,6,1020.39 
SBNF,201707280910,Mostly Cloudy,100,17,16,240,11,1020.39 
SBNF,201707280300,Mostly Cloudy,100,17,16,240,11,1020.39 
SBNF,201707280200,Mostly Cloudy,100,18,16,240,13,1020.39 
SBNF,201707280135,Mostly Cloudy,100,16,15,350,6,1020.39 
SBNF,201707280100,Mostly Cloudy,100,16,15,350,6,1020.39 
SBNF,201707280000,Fair,94,17,16,240,11,1020.39 
SBNF,201707272300,Fair,94,19,16,260,15,1020.39 
SBNF,201707272200,Fair,94,19,16,260,15,1020.39 
SBNF,201707272100,Fair,94,19,16,260,15,1020.39 
SBNF,201707272000,Fair,83,21,14,250,20,1020.39 
SBNF,201707271900,Fair,83,21,14,250,20,1020.39 
SBNF,201707271800,Fair,78,22,14,240,17,1020.39 
SBNF,201707271700,Fair,78,22,14,240,17,1020.39 
SBNF,201707271600,Fair,73,22,14,240,17,1020.39 
SBNF,201707271500,Partly Cloudy,65,23,16,240,22,1021.39 
SBNF,201707271400,Fair,73,22,14,240,17,1020.39 
SBNF,201707271300,Fair,88,19,16,260,15,1020.39 
SBNF,201707271200,Fair,94,17,16,240,11,1020.39 
SBNF,201707271100,Fair,100,16,15,350,6,1020.39 
SBNF,201707271000,Mostly Cloudy,100,16,15,350,6,1020.39 
SBNF,201707270910,Mostly Cloudy,100,16,15,350,6,1020.39 
SBNF,201707270300,Mostly Cloudy,100,17,16,240,11,1020.39 
SBNF,201707270200,Mostly Cloudy,94,19,16,260,15,1020.39 
SBNF,201707270100,Mostly Cloudy,94,19,16,260,15,1020.39 
SBNF,201707270000,Mostly Cloudy,94,19,16,260,15,1020.39 
SBNF,201707262300,Mostly Cloudy,94,19,16,260,15,1020.39 
SBNF,201707262200,Mostly Cloudy,100,18,16,240,13,1020.39 
SBNF,201707262115,Mostly Cloudy,100,18,16,240,13,1020.39 
SBNF,201707262100,Partly Cloudy,100,18,16,240,13,1020.39 
SBNF,201707262000,Partly Cloudy,94,20,14,250,20,1019.4 
SBNF,201707261900,Fair,88,21,14,250,20,1020.39 
SBNF,201707261800,Fair,88,21,14,250,20,1020.39 
SBNF,201707261700,Fair,88,21,14,250,20,1020.39 
SBNF,201707261600,Fair,88,21,14,250,20,1020.39 
SBNF,201707261500,Fair,78,22,14,240,17,1020.39 
SBNF,201707261400,Fair,78,22,14,240,17,1020.39 
SBNF,201707261300,Fair,88,19,16,260,15,1020.39 
SBNF,201707261200,Fair,100,15,17,350,4,1020.39 
SBNF,201707261120,Fair,100,14,17,30,6,1020.39 
SBNF,201707261100,Fog,100,14,17,30,6,1020.39 
SBNF,201707261000,Fair,100,12,18,10,11,1019.4 
SBNF,201707260930,Fair,100,12,18,10,11,1019.4 
SBNF,201707260910,Fog,100,13,18,10,13,1019.4 
SBNF,201707260300,Fair,100,14,17,30,6,1020.39 
SBNF,201707260200,Fair,100,14,17,30,6,1020.39 
SBNF,201707260100,Fair,100,15,17,350,4,1020.39 
SBNF,201707260000,Fair,94,17,16,240,11,1020.39 
SBNF,201707252300,Fair,88,18,16,240,13,1020.39 
SBNF,201707252200,Fair,73,20,14,250,20,1019.4 
SBNF,201707252100,Fair,68,21,14,250,20,1020.39 
SBNF,201707252000,Fair,61,23,16,240,22,1021.39 
SBNF,201707251900,Fair,69,24,16,240,20,1020.39 
SBNF,201707251800,Fair,69,25,17,240,11,1020.39 
SBNF,201707251700,Fair,40,29,18,20,6,1017.4 
SBNF,201707251600,Fair,48,27,18,40,9,1018.4 
SBNF,201707251500,Fair,57,25,17,240,11,1020.39 
SBNF,201707251400,Fair,73,23,16,240,22,1021.39 
SBNF,201707251300,Fair,83,20,14,250,20,1019.4 
SBNF,201707251200,Partly Cloudy,100,16,15,350,6,1020.39 
SBNF,201707251150,Partly Cloudy,100,16,15,350,6,1020.39 
SBNF,201707251140,Mostly Cloudy,100,16,15,350,6,1020.39 
SBNF,201707251100,Fog,100,16,15,350,6,1020.39 
SBNF,201707251000,Fog,100,16,15,350,6,1020.39 
SBNF,201707250940,Fog,100,16,15,350,6,1020.39 
SBNF,201707250910,Fog,100,16,15,350,6,1020.39 
SBNF,201707250300,Fog,100,15,17,350,4,1020.39 
SBNF,201707250200,Fog,100,16,15,350,6,1020.39 
SBNF,201707250115,Fog,100,16,15,350,6,1020.39 
SBNF,201707250100,Fog,100,17,16,240,11,1020.39 
SBNF,201707250000,Fog,100,18,16,240,13,1020.39 
SBNF,201707242320,Fog,100,18,16,240,13,1020.39 
SBNF,201707242300,Partly Cloudy,100,18,16,240,13,1020.39 
SBNF,201707242200,Partly Cloudy,100,18,16,240,13,1020.39 
SBNF,201707242100,Fair,100,18,16,240,13,1020.39 
SBNF,201707242000,Fair,94,19,16,260,15,1020.39 
SBNF,201707241900,Fair,83,21,14,250,20,1020.39 
SBNF,201707241800,Fair,78,22,14,240,17,1020.39 
SBNF,201707241700,Fair,78,22,14,240,17,1020.39 
SBNF,201707241600,Fair,83,21,14,250,20,1020.39 
SBNF,201707241500,Fair,83,21,14,250,20,1020.39 
SBNF,201707241400,Fair,78,21,14,250,20,1020.39 
SBNF,201707241300,Mostly Cloudy,88,19,16,260,15,1020.39 
SBNF,201707241200,Mostly Cloudy,94,18,16,240,13,1020.39 
SBNF,201707241100,Mostly Cloudy,100,17,16,240,11,1020.39 
SBNF,201707241000,Mostly Cloudy,100,17,16,240,11,1020.39 
SBNF,201707240910,Mostly Cloudy,100,17,16,240,11,1020.39 
SBNF,201707240300,Mostly Cloudy,100,18,16,240,13,1020.39 
SBNF,201707240200,Mostly Cloudy,94,19,16,260,15,1020.39 
SBNF,201707240100,Mostly Cloudy,94,19,16,260,15,1020.39 
SBNF,201707240000,Mostly Cloudy,100,18,16,240,13,1020.39 
SBNF,201707232315,Mostly Cloudy,100,18,16,240,13,1020.39 
SBNF,201707232300,Partly Cloudy,100,17,16,240,11,1020.39 
SBNF,201707232200,Partly Cloudy,100,17,16,240,11,1020.39 
SBNF,201707232100,Fair,94,18,16,240,13,1020.39 
SBNF,201707232000,Fair,88,19,16,260,15,1020.39 
SBNF,201707231900,Fair,83,20,14,250,20,1019.4 
SBNF,201707231800,Fair,73,21,14,250,20,1020.39 
SBNF,201707231700,Fair,73,21,14,250,20,1020.39 
SBNF,201707231600,Fair,78,21,14,250,20,1020.39 
SBNF,201707231500,Partly Cloudy,78,20,14,250,20,1019.4 
SBNF,201707231400,Partly Cloudy,78,20,14,250,20,1019.4 
SBNF,201707231300,Mostly Cloudy,88,18,16,240,13,1020.39 
