trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.9, 'e': 0.95}",20,0,-31.727374489345813,"{0: 14, 1: 4, 2: 2, 3: 0, 4: 0}",0
2,False,"{'a': 0.9, 'e': 0.9025}",30,0,-118.73956227201913,"{0: 20, 1: 3, 2: 5, 3: 0, 4: 2}",0
3,False,"{'a': 0.9, 'e': 0.8573749999999999}",25,0,-39.20282200107162,"{0: 19, 1: 2, 2: 3, 3: 1, 4: 0}",0
4,False,"{'a': 0.9, 'e': 0.8145062499999999}",20,0,-189.0579906959113,"{0: 11, 1: 2, 2: 3, 3: 0, 4: 4}",0
5,False,"{'a': 0.9, 'e': 0.7737809374999998}",25,0,-116.27131013270838,"{0: 16, 1: 4, 2: 2, 3: 1, 4: 2}",0
6,False,"{'a': 0.9, 'e': 0.7350918906249998}",35,17,-5.001367909338966,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 0}",1
7,False,"{'a': 0.9, 'e': 0.6983372960937497}",30,10,-12.665406674317696,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",1
8,False,"{'a': 0.9, 'e': 0.6634204312890623}",20,0,-35.53467510290715,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
9,False,"{'a': 0.9, 'e': 0.6302494097246091}",20,0,-45.32843431375964,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
10,False,"{'a': 0.9, 'e': 0.5987369392383787}",30,0,-129.75733542370673,"{0: 19, 1: 5, 2: 3, 3: 1, 4: 2}",0
11,False,"{'a': 0.9, 'e': 0.5688000922764597}",20,1,-61.03064813562809,"{0: 12, 1: 4, 2: 2, 3: 0, 4: 1}",1
12,False,"{'a': 0.9, 'e': 0.5403600876626367}",20,0,-25.07102583456458,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
13,False,"{'a': 0.9, 'e': 0.5133420832795048}",25,0,-37.53387269422779,"{0: 18, 1: 3, 2: 4, 3: 0, 4: 0}",0
14,False,"{'a': 0.9, 'e': 0.48767497911552954}",25,0,-78.77961276250544,"{0: 19, 1: 3, 2: 1, 3: 0, 4: 2}",0
15,False,"{'a': 0.9, 'e': 0.46329123015975304}",20,0,-67.47501303773366,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
16,False,"{'a': 0.9, 'e': 0.44012666865176536}",20,0,-31.262000770994394,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
17,False,"{'a': 0.9, 'e': 0.4181203352191771}",20,0,-114.51037074425156,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
18,False,"{'a': 0.9, 'e': 0.3972143184582182}",25,0,-112.8621692977137,"{0: 19, 1: 2, 2: 1, 3: 0, 4: 3}",0
19,False,"{'a': 0.9, 'e': 0.37735360253530725}",25,0,-20.932528132209978,"{0: 22, 1: 2, 2: 0, 3: 0, 4: 1}",0
20,False,"{'a': 0.9, 'e': 0.3584859224085419}",20,12,14.146759309423286,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
21,False,"{'a': 0.9, 'e': 0.3405616262881148}",25,10,23.991231330966226,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
22,False,"{'a': 0.9, 'e': 0.323533544973709}",30,15,-15.394311635870844,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
23,False,"{'a': 0.9, 'e': 0.3073568677250236}",25,3,-6.2176580302967865,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 1}",1
24,False,"{'a': 0.9, 'e': 0.2919890243387724}",20,13,12.12639470777344,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
25,False,"{'a': 0.9, 'e': 0.27738957312183377}",25,10,22.43605951272323,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
26,False,"{'a': 0.9, 'e': 0.26352009446574204}",25,11,-17.997666327996882,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 1}",1
27,False,"{'a': 0.9, 'e': 0.2503440897424549}",20,7,24.82095305456153,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
28,False,"{'a': 0.9, 'e': 0.23782688525533216}",25,15,-10.234976840352205,"{0: 7, 1: 2, 2: 1, 3: 0, 4: 0}",1
