trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-185.220222629739,"{0: 18, 1: 3, 2: 5, 3: 1, 4: 3}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-118.06542496772042,"{0: 15, 1: 1, 2: 7, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",30,0,-178.0012180939778,"{0: 19, 1: 2, 2: 6, 3: 0, 4: 3}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-89.5897994841579,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-162.89979835421,"{0: 15, 1: 1, 2: 6, 3: 0, 4: 3}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-72.75172382449553,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,5,-106.89541073057117,"{0: 9, 1: 2, 2: 1, 3: 1, 4: 2}",1
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-161.91927887680959,"{0: 16, 1: 3, 2: 2, 3: 1, 4: 3}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-200.227643811055,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 5}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-118.84497226853087,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-92.0542261602265,"{0: 14, 1: 3, 2: 7, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,3,-102.5377156329321,"{0: 9, 1: 0, 2: 7, 3: 0, 4: 1}",1
13,False,"{'a': 0.5, 'e': 1.0}",30,0,-159.90854048153628,"{0: 17, 1: 4, 2: 6, 3: 1, 4: 2}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-86.39047145018523,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-27.015168915909562,"{0: 18, 1: 4, 2: 3, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-91.88556021428089,"{0: 14, 1: 3, 2: 1, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-136.04337018926597,"{0: 8, 1: 3, 2: 7, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-91.0053445652816,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,7,-87.79719250857487,"{0: 13, 1: 2, 2: 1, 3: 0, 4: 2}",1
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-100.1688805722894,"{0: 16, 1: 1, 2: 7, 3: 0, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-105.37989483339214,"{0: 9, 1: 5, 2: 5, 3: 0, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-54.5978042051919,"{0: 17, 1: 3, 2: 4, 3: 1, 4: 0}",0
3,True,"{'a': 0.5, 'e': 1.0}",35,0,-112.5720621842797,"{0: 23, 1: 4, 2: 7, 3: 0, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-247.868178224205,"{0: 9, 1: 0, 2: 6, 3: 0, 4: 5}",0
5,True,"{'a': 0.5, 'e': 1.0}",30,0,-96.92084061805872,"{0: 20, 1: 3, 2: 4, 3: 3, 4: 0}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-30.208501190678774,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-125.90854816962796,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-56.142327947901975,"{0: 18, 1: 5, 2: 1, 3: 0, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-159.5344404463507,"{0: 11, 1: 1, 2: 5, 3: 0, 4: 3}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,5,-17.70415384877062,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 0}",1
